,quarter_year,year,quarter, deal value ($B) ,mps_shock,vc_irr,fundraising_activity,dry_powder,heigh_yield_spread,T10Y2Y,,,,
0,2015-Q1,2015,Q1,6.487186346,-0.0662,0.18,45.7,84.66,4.89,1.36,,,,
1,2015-Q2,2015,Q2,9.105870906,-0.0324,0.2,45.7,84.66,4.6,1.55,,,40.36703157, <-- Percentage change from Q1 to Q2
2,2015-Q3,2015,Q3,8.670300366,-0.0616,0.15,45.7,84.66,5.54,1.53,,,,
3,2015-Q4,2015,Q4,7.71045746,0.0819,0.11,45.7,84.66,6.4,1.35,,, 100(new-old) / old,
4,2016-Q1,2016,Q1,8.389388793,-0.1054,0.03,50.08,99.15,7.6,1.08,,,,
5,2016-Q2,2016,Q2,8.749165367,-0.0215,-0.02,50.08,99.15,6.33,0.98,,,,
6,2016-Q3,2016,Q3,7.386611437,-0.0076,-0.04,50.08,99.15,5.36,0.84,,,,
7,2016-Q4,2016,Q4,7.649929781,0.0584,-0.01,50.08,99.15,4.63,1.13,,,,
8,2017-Q1,2017,Q1,8.546432339,-0.065,0.05,49.69,109.97,3.92,1.2,,,,
9,2017-Q2,2017,Q2,8.578185101,0.0493,0.07,49.69,109.97,3.8,0.96,,,,
10,2017-Q3,2017,Q3,8.926006977,0.0546,0.12,49.69,109.97,3.75,0.88,,,,
11,2017-Q4,2017,Q4,11.67488155,0.0144,0.09,49.69,109.97,3.59,0.68,,,,
12,2018-Q1,2018,Q1,12.91796718,0.0198,0.15,77.91,131.76,3.51,0.6,,,,
13,2018-Q2,2018,Q2,14.14273005,0.0307,0.2,77.91,131.76,3.46,0.44,,,,
14,2018-Q3,2018,Q3,12.18604514,0.009,0.22,77.91,131.76,3.46,0.26,,,,
15,2018-Q4,2018,Q4,12.75862667,0.0465,0.23,77.91,131.76,4.07,0.24,,,,
16,2019-Q1,2019,Q1,14.1546953,-0.0466,0.22,69.52,142.31,4.24,0.17,,,,
17,2019-Q2,2019,Q2,13.54389894,-0.1167,0.19,69.52,142.31,4.02,0.21,,,,
18,2019-Q3,2019,Q3,15.28741643,0.0502,0.16,69.52,142.31,4.08,0.11,,,,
19,2019-Q4,2019,Q4,12.36856762,0.0334,0.2,69.52,142.31,3.96,0.2,,,,
20,2020-Q1,2020,Q1,13.59587726,-0.4054,0.09,91.76,167.42,5.14,0.28,,,,
21,2020-Q2,2020,Q2,12.00749622,0.008,0.13,91.76,167.42,7.15,0.49,,,,
22,2020-Q3,2020,Q3,14.69799381,0.0179,0.23,91.76,167.42,5.37,0.51,,,,
23,2020-Q4,2020,Q4,17.42462821,0.0153,0.47,91.76,167.42,4.55,0.71,,,,
24,2021-Q1,2021,Q1,21.37754592,0.0069,0.83,171.35,209.76,3.62,1.2,,,,
25,2021-Q2,2021,Q2,26.67769785,0.0342,0.98,171.35,209.76,3.26,1.42,,,,
26,2021-Q3,2021,Q3,26.31195537,0.0183,0.99,171.35,209.76,3.2,1.1,,,,
27,2021-Q4,2021,Q4,34.02549864,0.0722,0.55,171.35,209.76,3.21,1,,,,
28,2022-Q1,2022,Q1,30.88570243,0.1405,0.29,224.61,267.54,3.56,0.49,,,,
29,2022-Q2,2022,Q2,27.94192372,0.0705,0.01,224.61,267.54,4.35,0.21,,,,
30,2022-Q3,2022,Q3,20.18403513,0.1447,-0.08,224.61,267.54,4.93,-0.28,,,,
31,2022-Q4,2022,Q4,16.26765371,0.0119,-0.17,224.61,267.54,4.75,-0.56,,,,
32,2023-Q1,2023,Q1,15.26585453,-0.034,-0.16,103.46,297.74,4.42,-0.7,,,,
33,2023-Q2,2023,Q2,15.68435566,0.1293,-0.08,103.46,297.74,4.52,-0.67,,,,
34,2023-Q3,2023,Q3,13.73398884,0.101,-0.08,103.46,297.74,3.91,-0.77,,,,
35,2023-Q4,2023,Q4,12.49112156,,-0.04,103.46,297.74,3.98,-0.36,,,,
36,2024-Q1,2024,Q1,15.84725781,,0,85.67,293.91,3.37,-0.33,,,,
37,2024-Q2,2024,Q2,23.61361848,,-0.01,85.67,293.91,3.18,-0.38,,,,
38,2024-Q3,2024,Q3,16.72112461,,0.03,85.67,293.91,3.26,-0.09,,,,
39,2024-Q4,2024,Q4,17.60608121,,0.04,85.67,293.91,2.8,0.13,,,,
40,2025-Q1,2025,Q1,16.67567139,,0.03,45.73,311.25,2.87,0.3,,,,
41,2025-Q2,2025,Q2,21.51057952,,,45.73,311.25,3.5,0.5,,,,
42,2025-Q3,2025,Q3,18.6412583,,,45.73,311.25,2.86,0.54,,,,
