city,state,metro_region
New York,New York,GNYA
West Palm Beach,Florida,GMA
San Francisco,California,SFBA
Fremont,California,SFBA
Palo Alto,California,SFBA
Irvine,California,GLA
San Jose,California,SFBA
Pearl River,New York,GNYA
San Mateo,California,SFBA
Los Angeles,California,GLA
Menlo Park,California,SFBA
Miami,Florida,GMA
Hoboken,New Jersey,GNYA
Sunnyvale,California,SFBA
Burlingame,California,SFBA
Glendale,California,GLA
Coral Gables,Florida,GMA
Berkeley,California,SFBA
Hawthorne,New York,GNYA
Santa Monica,California,GLA
Iselin,New Jersey,GNYA
Sausalito,California,SFBA
Aventura,Florida,GMA
New City,New York,GNYA
Holmdel,New Jersey,GNYA
El Segundo,California,GLA
Manhattan,New York,GNYA
Jersey City,New Jersey,GNYA
Walnut,California,SFBA
Santa Ana,California,GLA
Westbury,New York,GNYA
Oakland,California,SFBA
Los Altos,California,SFBA
Mill Valley,California,SFBA
Sherman Oaks,California,GLA
Pasadena,California,GLA
Brooklyn,New York,GNYA
Santa Clara,California,SFBA
Mountain View,California,SFBA
Hollywood,Florida,GMA
Montclair,New Jersey,GNYA
Pleasanton,California,SFBA
Burbank,California,GLA
Beverly Hills,California,GLA
West Hollywood,California,GLA
Woodland Hills,California,GLA
Manhattan Beach,California,GLA
Newark,New Jersey,GNYA
Bernardsville,New Jersey,GNYA
Larchmont,New York,GNYA
Miami Beach,Florida,GMA
Madison,New Jersey,GNYA
Concord,California,SFBA
Covina,California,GLA
Ontario,California,GLA
Long Beach,California,GLA
Walnut Creek,California,SFBA
Woodcliff Lake,New Jersey,GNYA
Costa Mesa,California,GLA
Thousand Oaks,California,GLA
East Palo Alto,California,SFBA
Lyndhurst,New Jersey,GNYA
Playa Vista,California,GLA
Scarsdale,New York,GNYA
Boca Raton,Florida,GMA
Dania,Florida,GMA
Brea,California,GLA
Tenafly,New Jersey,GNYA
Pacific Palisades,California,GLA
Berkeley Heights,New Jersey,GNYA
Nyack,New York,GNYA
Staten Island,New York,GNYA
Venice,California,GLA
Laguna Beach,California,GLA
Great Neck,New York,GNYA
Pleasant Hill,California,SFBA
Gilroy,California,SFBA
Mission Viejo,California,GLA
Cupertino,California,SFBA
Anaheim,California,GLA
North Hollywood,California,GLA
Santa Rosa,California,SFBA
Fort Lauderdale,Florida,GMA
Harrington Park,New Jersey,GNYA
Hayward,California,SFBA
Sunrise,Florida,GMA
Peekskill,New York,GNYA
Morristown,New Jersey,GNYA
