quarter_year,year,quarter, deal value ($B) ,vc_irr,fundraising_activity,dry_powder
2015-Q1,2015,Q1,6.487186346,0.18,45.7,84.66
2015-Q2,2015,Q2,9.105870906,0.20,45.7,84.66
2015-Q3,2015,Q3,8.670300366,0.15,45.7,84.66
2015-Q4,2015,Q4,7.71045746,0.11,45.7,84.66
2016-Q1,2016,Q1,8.389388793,0.03,50.08,99.15
2016-Q2,2016,Q2,8.749165367,-0.02,50.08,99.15
2016-Q3,2016,Q3,7.386611437,-0.04,50.08,99.15
2016-Q4,2016,Q4,7.649929781,-0.01,50.08,99.15
2017-Q1,2017,Q1,8.546432339,0.05,49.69,109.97
2017-Q2,2017,Q2,8.578185101,0.07,49.69,109.97
2017-Q3,2017,Q3,8.926006977,0.12,49.69,109.97
2017-Q4,2017,Q4,11.67488155,0.09,49.69,109.97
2018-Q1,2018,Q1,12.91796718,0.15,77.91,131.76
2018-Q2,2018,Q2,14.14273005,0.2,77.91,131.76
2018-Q3,2018,Q3,12.18604514,0.22,77.91,131.76
2018-Q4,2018,Q4,12.75862667,0.23,77.91,131.76
2019-Q1,2019,Q1,14.1546953,0.22,69.52,142.31
2019-Q2,2019,Q2,13.54389894,0.19,69.52,142.31
2019-Q3,2019,Q3,15.28741643,0.16,69.52,142.31
2019-Q4,2019,Q4,12.36856762,0.2,69.52,142.31
2020-Q1,2020,Q1,13.59587726,0.09,91.76,167.42
2020-Q2,2020,Q2,12.00749622,0.13,91.76,167.42
2020-Q3,2020,Q3,14.69799381,0.23,91.76,167.42
2020-Q4,2020,Q4,17.42462821,0.47,91.76,167.42
2021-Q1,2021,Q1,21.37754592,0.83,171.35,209.76
2021-Q2,2021,Q2,26.67769785,0.98,171.35,209.76
2021-Q3,2021,Q3,26.31195537,0.99,171.35,209.76
2021-Q4,2021,Q4,34.02549864,0.55,171.35,209.76
2022-Q1,2022,Q1,30.88570243,0.29,224.61,267.54
2022-Q2,2022,Q2,27.94192372,0.01,224.61,267.54
2022-Q3,2022,Q3,20.18403513,-0.08,224.61,267.54
2022-Q4,2022,Q4,16.26765371,-0.17,224.61,267.54
2023-Q1,2023,Q1,15.26585453,-0.16,103.46,297.74
2023-Q2,2023,Q2,15.68435566,-0.08,103.46,297.74
2023-Q3,2023,Q3,13.73398884,-0.08,103.46,297.74
2023-Q4,2023,Q4,12.49112156,-0.04,103.46,297.74
2024-Q1,2024,Q1,15.84725781,0,85.67,293.91
2024-Q2,2024,Q2,23.61361848,-0.01,85.67,293.91
2024-Q3,2024,Q3,16.72112461,0.03,85.67,293.91
2024-Q4,2024,Q4,17.60608121,0.04,85.67,293.91
2025-Q1,2025,Q1,16.67567139,0.03,45.73,311.25
2025-Q2,2025,Q2,21.51057952,,45.73,311.25
2025-Q3,2025,Q3,18.6412583,,45.73,311.25
